CD,Region,소분류(11개 타입),배출량,전체 배출량,비중,code1,인간제외 소분류(기타시 중분류),code2,,,
48890,합천군,돼지,"1,293,644","2,201,684",59%,3,돼지,3,,,
47290,경산시,일반 소,"525,839","1,115,188",47%,2,일반 소,2,,,
47130,경주시,돼지,"1,109,763","3,153,451",35%,3,돼지,3,,,
47830,고령군,돼지,"1,164,260","1,536,089",76%,3,돼지,3,,,
47190,구미시,일반 소,"1,048,952","1,860,294",56%,2,일반 소,2,,,
47150,김천시,닭,"846,467","2,204,514",38%,5,닭,5,,,
47280,문경시,일반 소,"539,460","1,253,363",43%,2,일반 소,2,,,
47920,봉화군,닭,"548,797","1,458,567",38%,5,닭,5,,,
47250,상주시,일반 소,"1,372,576","2,466,639",56%,2,일반 소,2,,,
47840,성주군,돼지,"507,144","1,109,775",46%,3,돼지,3,,,
47170,안동시,일반 소,"944,224","1,714,546",55%,2,일반 소,2,,,
47770,영덕군,일반 소,"125,601","298,082",42%,2,일반 소,2,,,
47760,영양군,일반 소,"73,397","123,879",59%,2,일반 소,2,,,
47210,영주시,닭,"1,090,633","2,989,186",36%,5,닭,5,,,
47230,영천시,돼지,"1,073,299","2,666,204",40%,3,돼지,3,,,
47900,예천군,일반 소,"788,221","1,512,325",52%,2,일반 소,2,,,
47940,울릉군,농경지,"6,718","22,107",30%,8,농경지,8,,,
47930,울진군,일반 소,"180,996","264,007",69%,2,일반 소,2,,,
47730,의성군,일반 소,"760,191","2,140,130",36%,2,일반 소,2,,,
47820,청도군,일반 소,"415,349","928,656",45%,2,일반 소,2,,,
47750,청송군,돼지,"128,756","306,474",42%,3,돼지,3,,,
47850,칠곡군,닭,"335,212","982,900",34%,5,닭,5,,,
47111,포항시 남구,코우크스 오븐(누출 및 소화),"372,744","847,577",44%,16,코우크스 오븐(누출 및 소화),16,,,
47113,포항시 북구,일반 소,"271,568","935,843",29%,2,일반 소,2,,,
29200,광산구,인간,"99,185","315,784",31%,1,농경지,8,,,
29155,남구,인간,"52,411","106,940",49%,1,농경지,8,,,
29110,동구,인간,"26,794","33,828",79%,1,주거용시설,10,,,
29170,북구,인간,"105,421","181,748",58%,1,돼지,3,,,
29140,서구,인간,"70,998","128,285",55%,1,농경지,8,,,
27720,군위군,닭,"270,629","726,566",37%,5,닭,5,,,
27200,남구,인간,"34,797","52,404",66%,1,돼지,3,,,
27290,달서구,인간,"131,945","275,472",48%,1,돼지,3,,,
27710,달성군,닭,"110,630","456,092",24%,5,닭,5,,,
27140,동구,인간,"85,703","226,425",38%,1,일반 소,2,,,
27230,북구,인간,"104,906","173,830",60%,1,일반 소,2,,,
27170,서구,인간,"41,022","94,169",44%,1,SCR,14,,,
27260,수성구,인간,"101,833","233,034",44%,1,돼지,3,,,
27110,중구,인간,"22,266","32,460",69%,1,일반 소,2,,,
30230,대덕구,인간,"42,463","87,237",49%,1,SCR,14,,,
30110,동구,인간,"54,407","77,824",70%,1,농경지,8,,,
30170,서구,인간,"116,159","180,759",64%,1,일반 소,2,,,
30200,유성구,인간,"91,711","211,571",43%,1,공정로(제조업),12,,,
30140,중구,인간,"55,814","78,201",71%,1,일반 소,2,,,
26440,강서구,"1,2,3종(보일러)","185,245","304,794",61%,17,"1,2,3종(보일러)",17,,,
26410,금정구,인간,"53,898","66,147",81%,1,주거용시설,10,,,
26710,기장군,인간,"44,682","108,431",41%,1,농경지,8,,,
26290,남구,인간,"63,546","82,204",77%,1,SCR,14,,,
26170,동구,인간,"21,948","29,683",74%,1,상업 및 공공기관시설,11,,,
26260,동래구,인간,"67,704","82,889",82%,1,돼지,3,,,
26230,부산진구,인간,"89,877","102,045",88%,1,주거용시설,10,,,
26320,북구,인간,"68,399","78,645",87%,1,주거용시설,10,,,
