CD,Region,돼지,소,dominant
11200,성동구,0,0,돼지
11290,성북구,0,0,돼지
11710,송파구,0,37,일반 소
11470,양천구,0,37,일반 소
11560,영등포구,0,22,일반 소
11170,용산구,0,0,돼지
11380,은평구,0,0,돼지
11110,종로구,0,0,돼지
11140,중구,0,"5,640",일반 소
11260,중랑구,0,0,돼지
36110,세종시,"619,570","382,904",돼지
31140,남구,"5,309","6,946",일반 소
31170,동구,39,"1,453",일반 소
31200,북구,"19,558","16,535",돼지
31710,울주군,"209,901","500,168",일반 소
31110,중구,0,"5,640",일반 소
28710,강화군,"14,919","257,469",일반 소
28245,계양구,333,"3,180",일반 소
28200,남동구,"132,251","14,801",돼지
28140,동구,39,"1,453",일반 소
28177,미추홀구,"11,526",166,돼지
28237,부평구,0,332,일반 소
28260,서구,"6,425","13,258",일반 소
28185,연수구,0,105,일반 소
28720,옹진군,0,607,일반 소
28110,중구,0,"5,640",일반 소
46810,강진군,"186,676","608,449",일반 소
46770,고흥군,"393,970","662,848",일반 소
46720,곡성군,"103,628","336,141",일반 소
46230,광양시,"46,026","55,007",일반 소
46730,구례군,"83,573","123,532",일반 소
46170,나주시,"886,929","885,094",돼지
46710,담양군,"422,575","408,894",돼지
46110,목포시,"202,812","3,553",돼지
46840,무안군,"1,605,732","629,704",돼지
46780,보성군,"393,243","435,043",일반 소
46150,순천시,"1,035,247","265,960",돼지
46910,신안군,"73,386","209,214",일반 소
46130,여수시,"27,216","70,271",일반 소
46870,영광군,"493,289","471,024",돼지
46830,영암군,"421,906","901,050",일반 소
46890,완도군,"13,590","156,547",일반 소
46880,장성군,"417,869","250,846",돼지
46800,장흥군,"90,864","915,104",일반 소
46900,진도군,"13,487","44,824",일반 소
46860,함평군,"999,629","759,801",돼지
46820,해남군,"219,783","818,253",일반 소
46790,화순군,"224,074","385,612",일반 소
52790,고창군,"957,368","631,037",돼지
52130,군산시,"535,945","187,131",돼지
52210,김제시,"1,189,374","681,698",돼지
52190,남원시,"763,215","615,596",돼지
52730,무주군,"93,070","127,944",일반 소
52800,부안군,"315,195","515,362",일반 소
52770,순창군,"446,280","439,834",돼지
52710,완주군,"398,294","566,489",일반 소
52140,익산시,"1,307,427","596,272",돼지
52750,임실군,"675,434","311,396",돼지
52740,장수군,"300,034","521,937",일반 소
52113,전주시 덕진구,"110,548","13,033",돼지
52111,전주시 완산구,"598,323","5,480",돼지
52180,정읍시,"1,888,629","1,452,619",돼지
52720,진안군,"93,635","140,461",일반 소
50130,서귀포시,"893,389","261,486",돼지
50110,제주시,"2,860,917","335,346",돼지
44250,계룡시,"34,735","3,202",돼지
44150,공주시,"983,541","709,576",돼지
44710,금산군,"18,485","147,460",일반 소
44230,논산시,"1,090,612","434,188",돼지
44270,당진시,"1,784,577","431,870",돼지
44180,보령시,"999,618","483,944",돼지
44760,부여군,"432,134","568,130",일반 소
44210,서산시,"379,575","484,962",일반 소
44770,서천군,"248,087","212,642",돼지
44200,아산시,"757,986","301,591",돼지
44810,예산군,"1,784,460","810,108",돼지
