지역,경도,위도,농도,비고
영등포,126.90 ,37.53 ,7.63 ,도심
중랑,127.09 ,37.58 ,9.03 ,도심
종로,127.00 ,37.57 ,6.19 ,도심
관악,126.93 ,37.49 ,7.98 ,도심
강서,126.84 ,37.54 ,8.15 ,도심
강남,127.05 ,37.52 ,8.14 ,도심
강동,127.14 ,37.55 ,7.37 ,도심
강북,127.01 ,37.65 ,5.87 ,도심
시화,126.76 ,37.32 ,9.93 ,산단
송도,126.64 ,37.39 ,4.79 ,도심
포곡,127.22 ,37.31 ,23.60 ,축사(돈사)
모현,127.27 ,37.32 ,2.22 ,배경
비봉,126.88 ,37.21 ,12.50 ,농지
팔등,128.35 ,36.40 ,210.90 ,축사(우사)
월아산,128.20 ,35.20 ,3.00 ,배경
통영,128.41 ,34.86 ,3.50 ,소각장
상주,128.38 ,36.50 ,81.00 ,축사(계사)
복룡,128.18 ,36.42 ,12.50 ,농지
정촌,128.11 ,35.12 ,5.50 ,산단
고성,128.35 ,34.97 ,12.90 ,농지
진주,128.11 ,35.18 ,8.30 ,도심
장양,126.59 ,36.57 ,13.90 ,축사(계사)
신유,126.91 ,36.74 ,14.30 ,농지
산수,126.73 ,36.66 ,29.40 ,축사(계사)
노은,126.91 ,36.74 ,19.70 ,농지
장대,127.34 ,36.36 ,11.80 ,도심
구만,126.75 ,36.75 ,23.80 ,농지
도장,127.17 ,36.75 ,14.40 ,축사(우사)
부곡,126.78 ,36.95 ,13.90 ,산단
약촌,126.97 ,35.94 ,14.30 ,산단
용암,126.98 ,35.83 ,180.60 ,축사(돈사)
월산,126.74 ,35.54 ,17.80 ,농지
신용,127.04 ,36.03 ,11.50 ,배경
소룡,126.65 ,35.98 ,31.90 ,산단
신평,126.77 ,35.70 ,31.80 ,농지
익산,126.94 ,35.96 ,16.50 ,도심
고교,126.77 ,35.58 ,52.70 ,축사(우사)
봉산,126.68 ,35.42 ,15.50 ,산단
유치,127.87 ,37.58 ,65.50 ,축사(우사)
유치2,127.87 ,37.58 ,77.30 ,축사(돈사)
서원,127.93 ,37.34 ,11.10 ,도심
서곡,127.95 ,37.28 ,2.80 ,배경
묵계,127.98 ,37.47 ,17.60 ,산단
문암,127.05 ,37.46 ,13.20 ,축사(우사)
홍대,127.91 ,37.30 ,10.30 ,농지
간척,127.81 ,38.04 ,12.50 ,농지
둔둔,127.98 ,37.44 ,10.50 ,농지
