value_col,n,dropped_na_count,permutations,moran_i,expected_i,z_score,p_value
density,242,0,999,0.32036632713912955,-0.004149377593360996,4.368055927926455,0.001
log_density,242,0,999,0.5867780858472059,-0.004149377593360996,8.139186047432313,0.001
