SIG_CD,SIG_KOR_NM,density,log_density,local_I_log_density,local_p_sim_log_density,local_q_log_density,lisa_sig_log_density,lisa_cluster_log_density,lisa_hh_log_density
11110,Á¾·Î±¸,1854.860672028489,7.526103841578164,-0.2154206991404786,0.069,2,False,Not significant,False
11140,Áß±¸,4015.9520653499203,8.29827870134059,0.37442396037221914,0.147,1,False,Not significant,False
11170,¿ë»ê±¸,2956.082927399127,7.9919585638958734,0.0,0.001,4,True,HL,False
11200,¼ºµ¿±¸,4892.68963607504,8.495701824761385,0.7092387354885431,0.072,1,False,Not significant,False
11215,±¤Áø±¸,5608.964551964256,8.63229967977383,1.0381558786144438,0.135,1,False,Not significant,False
11230,µ¿´ë¹®±¸,6779.62305822476,8.821824273205545,0.4915085857261577,0.248,1,False,Not significant,False
11260,Áß¶û±¸,5806.206936725404,8.666855000474223,0.9600975421366376,0.076,1,False,Not significant,False
11290,¼ººÏ±¸,4911.041520794325,8.499444922721693,0.3167312666499577,0.275,1,False,Not significant,False
11305,°­ºÏ±¸,3390.606427916197,8.129058960674012,0.10739540573576059,0.409,1,False,Not significant,False
11320,µµºÀ±¸,4196.238781770038,8.342182155155783,0.0,0.001,4,True,HL,False
11350,³ë¿ø±¸,4113.343480908814,8.322234557468827,-0.12413076016117044,0.372,4,False,Not significant,False
11380,ÀºÆò±¸,4415.914626262602,8.393196682965673,-0.18370731696776743,0.338,4,False,Not significant,False
11410,¼­´ë¹®±¸,4906.044817477765,8.498427169424547,1.4707509221605637,0.022,1,True,HH,True
11440,¸¶Æ÷±¸,10738.264316585803,9.281661866329868,1.3801588539415393,0.136,1,False,Not significant,False
11470,¾çÃµ±¸,7330.766418726026,8.899971750667897,0.8472617704848391,0.32,1,False,Not significant,False
11500,°­¼­±¸,4119.940096294975,8.323836595027142,0.30980851499521905,0.293,1,False,Not significant,False
11530,±¸·Î±¸,5543.192858149831,8.620506327088254,0.8148746918586565,0.127,1,False,Not significant,False
11545,±ÝÃµ±¸,5083.601042877422,8.53397184776014,0.7774624082665542,0.099,1,False,Not significant,False
11560,¿µµîÆ÷±¸,4473.202587452697,8.406083422082741,1.2895667857225144,0.018,1,True,HH,True
11590,µ¿ÀÛ±¸,6514.394067412414,8.781922973902013,0.545706821650152,0.299,1,False,Not significant,False
11620,°ü¾Ç±¸,4555.679014542471,8.424349350894598,0.288892348881149,0.193,1,False,Not significant,False
11650,¼­ÃÊ±¸,2692.655282554237,7.898654391305041,0.05477970038976571,0.274,1,False,Not significant,False
11680,°­³²±¸,4237.694953832057,8.352010706940202,0.34616036324796123,0.276,1,False,Not significant,False
11710,¼ÛÆÄ±¸,5689.430684731515,8.64654121577288,-0.12583492418405387,0.385,4,False,Not significant,False
11740,°­µ¿±¸,5355.296537197486,8.586028070699943,0.0,0.001,4,True,HL,False
26110,Áß±¸,5291.391262763273,8.57402545726433,0.2712225262450604,0.431,1,False,Not significant,False
26140,¼­±¸,2181.7244722249743,7.688329133387147,-0.09506105131415864,0.053,2,False,Not significant,False
26170,µ¿±¸,2996.7184707914766,8.00560676857984,0.2712225262450604,0.196,1,False,Not significant,False
26200,¿µµµ±¸,2393.574593020306,7.78096087111216,0.0,0.001,4,True,HL,False
26230,ºÎ»êÁø±¸,3432.601086091558,8.141364868749108,0.3674880891717053,0.244,1,False,Not significant,False
26260,µ¿·¡±¸,4975.415061721375,8.512465043665724,0.0,0.001,4,True,HL,False
26290,³²±¸,3056.7379384046853,8.025430685761437,0.2696713645759522,0.223,1,False,Not significant,False
26320,ºÏ±¸,1978.3098707432532,7.590503512801196,0.0639488896964509,0.291,3,False,Not significant,False
26350,ÇØ¿î´ë±¸,2207.554717843467,7.700093606751153,0.0022032474626790476,0.429,3,False,Not significant,False
26380,»çÇÏ±¸,7912.159182589598,8.976282371998492,-0.09506105131415864,0.42,4,False,Not significant,False
26410,±ÝÁ¤±¸,1007.8146724978475,6.916531329051132,0.051924896377126405,0.436,3,False,Not significant,False
26440,°­¼­±¸,1678.8067081601946,7.426434011111458,0.4521118437223807,0.12,3,False,Not significant,False
26470,¿¬Á¦±¸,4817.521889449429,8.480222498074305,0.3674880891717053,0.379,1,False,Not significant,False
26500,¼ö¿µ±¸,4965.657398694017,8.510502337228939,0.11107648156209193,0.486,1,False,Not significant,False
26530,»ç»ó±¸,1690.3684525755589,7.433293215510206,0.0639488896964509,0.388,3,False,Not significant,False
27110,Áß±¸,4585.06466702177,8.430777564282621,0.24308850941687277,0.275,1,False,Not significant,False
27140,µ¿±¸,1247.8328397193889,7.129964665876113,-0.06052571546977695,0.461,2,False,Not significant,False
27170,¼­±¸,5438.808493625995,8.60149913585276,0.7199104992484486,0.158,1,False,Not significant,False
27200,³²±¸,2955.334059712458,7.991705286411027,0.20505861195738892,0.158,1,False,Not significant,False
27230,ºÏ±¸,1855.065310672618,7.526214101667017,0.2182740868349879,0.16,3,False,Not significant,False
27260,¼ö¼º±¸,3043.4011371818906,8.021059489925518,-0.08029995883768451,0.327,4,False,Not significant,False
27290,´Þ¼­±¸,4384.622138558157,8.386086773547035,0.48329924222864795,0.124,1,False,Not significant,False
27710,´Þ¼º±º,1076.9800938677758,6.982844285498611,-0.156178563623901,0.469,2,False,Not significant,False
27720,±ºÀ§±º,1185.1237711632452,7.078445934283898,0.3248734377033063,0.14,3,False,Not significant,False
28110,Áß±¸,765.2234124221397,6.641473788341262,-1.2150414930264388,0.169,2,False,Not significant,False
28140,µ¿±¸,3624.4338225430865,8.195729235312571,0.49035417740349635,0.169,1,False,Not significant,False
28177,¹ÌÃßÈ¦±¸,5463.543937924588,8.60603594569646,0.1192234737319923,0.436,1,False,Not significant,False
28185,¿¬¼ö±¸,2934.0827625055113,7.984490930333285,0.2589107447643999,0.073,1,False,Not significant,False
28200,³²µ¿±¸,5475.741573867129,8.60826559978649,0.2965151574995725,0.339,1,False,Not significant,False
