SIG_CD,SIG_KOR_NM,배출량,area_km2,density,log_density,hotspot_p10,hotspot_p15,hotspot_p20,cluster_density_spatial_k4,hotspot_kmeans_density_spatial_k4,돼지,소,dominant,dominant_group
41480,ÆÄÁÖ½Ã,1319127,689.3419705956309,1913.6031988016034,7.557265673252319,False,False,False,2,True,58218,200316,일반 소,소
41500,ÀÌÃµ½Ã,5350170,461.5191251697146,11592.52067405133,9.358201658458482,True,True,True,2,True,3358112,376685,돼지,돼지
41550,¾È¼º½Ã,4936687,552.8971967083678,8928.761132069754,9.097144924584427,True,True,True,2,True,1871816,1251729,돼지,돼지
41570,±èÆ÷½Ã,963757,277.6220191873089,3471.471761574367,8.152621942579414,False,False,False,2,True,39184,155279,일반 소,소
41590,È­¼º½Ã,3537646,692.4398883355789,5108.957556595211,8.538946377213199,False,False,True,2,True,824289,515359,돼지,돼지
41610,±¤ÁÖ½Ã,424256,429.64783296885065,987.4505756689304,6.896138642037377,False,False,False,1,False,33579,75127,일반 소,소
41630,¾çÁÖ½Ã,1284565,310.258463455698,4140.306071564825,8.328766493290587,False,False,False,2,True,492250,171728,돼지,돼지
41650,Æ÷Ãµ½Ã,4578103,825.1576071934867,5548.155843307284,8.621401094867062,False,True,True,2,True,1013287,246326,돼지,돼지
41670,¿©ÁÖ½Ã,2538982,606.8518371781071,4183.858142057211,8.339228085588545,False,False,False,2,True,881644,340470,돼지,돼지
41800,¿¬Ãµ±º,1147628,666.4272459683365,1722.0604453715964,7.451857317381885,False,False,False,2,True,266311,149541,돼지,돼지
41820,°¡Æò±º,509967,840.0707472194597,607.0524437232624,6.410261134370108,False,False,False,1,False,131881,148141,일반 소,소
41830,¾çÆò±º,964812,876.0890343564871,1101.2716312659734,7.005128448691414,False,False,False,1,False,312342,261869,돼지,돼지
43111,Ã»ÁÖ½Ã »ó´ç±¸,655822,403.0480574266774,1627.1558389021818,7.3952032661226115,False,False,False,0,False,172391,330464,일반 소,소
43112,Ã»ÁÖ½Ã ¼­¿ø±¸,297291,123.15829349278302,2413.8934664389535,7.789410451837858,False,False,False,2,True,69346,81242,일반 소,소
43113,Ã»ÁÖ½Ã Èï´ö±¸,909203,198.73830937677656,4574.875386890276,8.428553300802973,False,False,False,2,True,119765,206973,일반 소,소
43114,Ã»ÁÖ½Ã Ã»¿ø±¸,1074359,214.64748878698086,5005.225106855122,8.518437438390848,False,False,False,2,True,349809,430297,일반 소,소
43130,ÃæÁÖ½Ã,1871013,980.8181694373444,1907.6043432936447,7.554127543624306,False,False,False,2,True,761739,373221,돼지,돼지
43150,Á¦Ãµ½Ã,702015,881.998903383861,795.9363637603878,6.680774830885251,False,False,False,1,False,167530,246978,일반 소,소
43720,º¸Àº±º,1102838,583.2020049720345,1891.0051587577839,7.545392476224271,False,False,False,0,False,221712,583498,일반 소,소
43730,¿ÁÃµ±º,954425,541.224543806771,1763.4547636863097,7.475597005884631,False,False,False,0,False,224899,334516,일반 소,소
43740,¿µµ¿±º,547326,852.0178444674324,642.3879541421048,6.4667478924383435,False,False,False,1,False,78055,149458,일반 소,소
43745,ÁõÆò±º,289604,81.82999924010583,3539.093274952173,8.17190835463724,False,False,False,2,True,137993,77050,돼지,돼지
43750,ÁøÃµ±º,1489719,407.804494031828,3653.0225188831087,8.20358389972222,False,False,False,2,True,575964,246670,돼지,돼지
43760,±«»ê±º,1654469,841.575096103175,1965.9196281601544,7.584223957442495,False,False,False,2,True,1057160,274932,돼지,돼지
43770,À½¼º±º,2078417,519.0210603834785,4004.494535278323,8.29542233134974,False,False,False,2,True,552856,353866,돼지,돼지
43800,´Ü¾ç±º,472391,779.8173368065574,605.7713488834398,6.408152029621728,False,False,False,1,False,29241,39116,일반 소,소
44131,Ãµ¾È½Ã µ¿³²±¸,3736182,438.3125670961075,8524.012954391925,9.050759821727329,True,True,True,2,True,1781284,385469,돼지,돼지
44133,Ãµ¾È½Ã ¼­ºÏ±¸,1249406,197.8786198152718,6314.001993577549,8.750683350473782,True,True,True,2,True,377215,179944,돼지,돼지
44150,°øÁÖ½Ã,2227853,863.1758314013244,2580.9955735011577,7.85631785703686,False,False,False,2,True,983541,709576,돼지,돼지
44180,º¸·É½Ã,3709693,589.1108025523429,6297.10571241883,8.748004186597719,True,True,True,2,True,999618,483944,돼지,돼지
44200,¾Æ»ê½Ã,2191607,542.6664524631703,4038.5894319655586,8.30389834003985,False,False,False,2,True,757986,301591,돼지,돼지
44210,¼­»ê½Ã,1522511,739.7306220060469,2058.1965308819595,7.63007115214831,False,False,False,2,True,379575,484962,일반 소,소
44230,³í»ê½Ã,2572969,553.4698452224137,4648.797079389291,8.444578858788187,False,False,False,2,True,1090612,434188,돼지,돼지
44250,°è·æ½Ã,52324,60.762525194559345,861.1228686177952,6.759397799505738,False,False,False,0,False,34735,3202,돼지,돼지
44270,´çÁø½Ã,5837029,702.8613244768935,8304.666648636878,9.024693289582869,True,True,True,2,True,1784577,431870,돼지,돼지
44710,±Ý»ê±º,502998,576.2061248005041,872.948027364599,6.773020908629511,False,False,False,0,False,18485,147460,일반 소,소
44760,ºÎ¿©±º,1547550,624.0803755781563,2479.728670471859,7.816307614741408,False,False,False,0,False,432134,568130,일반 소,소
44770,¼­Ãµ±º,945058,365.78425447117195,2583.648662970214,7.857344863960821,False,False,False,0,False,248087,212642,돼지,돼지
44790,Ã»¾ç±º,1253149,479.35352810034203,2614.247995558053,7.8691142077798535,False,False,False,2,True,455985,449982,돼지,돼지
44800,È«¼º±º,6597171,443.2123708014112,14884.898154063425,9.608169611170227,True,True,True,2,True,5067876,924257,돼지,돼지
44810,¿¹»ê±º,3556083,543.1647261781327,6546.969691904792,8.786910309876891,True,True,True,2,True,1784460,810108,돼지,돼지
44825,ÅÂ¾È±º,2179043,516.0931646518646,4222.18922715222,8.348345862632934,False,False,False,2,True,89431,124264,일반 소,소
46110,¸ñÆ÷½Ã,286990,51.791277310971275,5541.28059589689,8.620161354941821,False,False,True,0,False,202812,3553,돼지,돼지
46130,¿©¼ö½Ã,1733382,509.297469563513,3403.476560536563,8.132846480051784,False,False,False,0,False,27216,70271,일반 소,소
46150,¼øÃµ½Ã,1782930,909.0489266748142,1961.3135747508466,7.581879451386841,False,False,False,0,False,1035247,265960,돼지,돼지
46170,³ªÁÖ½Ã,3758436,605.386579176888,6208.323952457199,8.733807304662758,False,True,True,0,False,886929,885094,돼지,돼지
46230,±¤¾ç½Ã,1209739,462.47695644100526,2615.7822203933256,7.8697006817931605,False,False,False,0,False,46026,55007,일반 소,소
46710,´ã¾ç±º,1101722,453.178248702595,2431.10079346068,7.796510686906807,False,False,False,0,False,422575,408894,돼지,돼지
46720,°î¼º±º,927192,547.8953997504092,1692.2792204905852,7.434422294990603,False,False,False,0,False,103628,336141,일반 소,소
46730,±¸·Ê±º,571665,439.2638357475356,1301.4160362806676,7.171976308041536,False,False,False,0,False,83573,123532,일반 소,소
46770,°íÈï±º,1657401,806.293869070641,2055.5793161497945,7.6287993554410996,False,False,False,0,False,393970,662848,일반 소,소
46780,º¸¼º±º,1255158,663.8173492745971,1890.8183122535215,7.5452937155363875,False,False,False,0,False,393243,435043,일반 소,소
46790,È­¼ø±º,963702,787.5505235056232,1223.6700646331537,7.1104267517083,False,False,False,0,False,224074,385612,일반 소,소
46800,ÀåÈï±º,1779157,615.7565183800659,2889.3839478640216,7.969144626214363,False,False,False,0,False,90864,915104,일반 소,소
46810,°­Áø±º,1256148,498.44928626858115,2520.111944393768,7.8324553309596014,False,False,False,0,False,186676,608449,일반 소,소
46820,ÇØ³²±º,1706929,1042.7555058945347,1636.940769289633,7.401195103374373,False,False,False,0,False,219783,818253,일반 소,소
46830,¿µ¾Ï±º,2522618,611.9062465679553,4122.556378773378,8.324471268733204,False,False,False,0,False,421906,901050,일반 소,소
46840,¹«¾È±º,3084212,452.60282684308277,6814.3896084619355,8.826938511749935,True,True,True,0,False,1605732,629704,돼지,돼지
46860,ÇÔÆò±º,2782635,389.2086550073908,7149.468451432972,8.874933151224797,True,True,True,0,False,999629,759801,돼지,돼지
46870,¿µ±¤±º,1587995,472.5797974327007,3360.268485082974,8.120073707034809,False,False,False,0,False,493289,471024,돼지,돼지
46880,Àå¼º±º,1045572,517.905117046065,2018.848560453597,7.6107778175123775,False,False,False,0,False,417869,250846,돼지,돼지
46890,¿Ïµµ±º,248520,392.67950759717615,632.8825293703387,6.451863652365029,False,False,False,0,False,13590,156547,일반 소,소
46900,Áøµµ±º,293833,438.01666205475124,670.8260791304589,6.5099994962080805,False,False,False,0,False,13487,44824,일반 소,소
46910,½Å¾È±º,535645,650.8968531381846,822.9337681039352,6.7140901481643045,False,False,False,0,False,73386,209214,일반 소,소
47111,Æ÷Ç×½Ã ³²±¸,847577,394.64642283725334,2147.687020463705,7.6726122464193285,False,False,False,3,False,109518,111832,일반 소,소
47113,Æ÷Ç×½Ã ºÏ±¸,935843,734.7335014067693,1273.7176108183078,7.150479951350699,False,False,False,3,False,263947,271568,일반 소,소
47130,°æÁÖ½Ã,3153451,1318.6009346488067,2391.512789910075,7.7800994691477525,False,False,False,3,False,1109763,1056437,돼지,돼지
47150,±èÃµ½Ã,2204514,1004.5675238322854,2194.4906118307367,7.694160813896404,False,False,False,3,False,442054,600814,일반 소,소
47170,¾Èµ¿½Ã,1714546,1526.8048626517534,1122.9634132957751,7.02461647947526,False,False,False,1,False,389937,944224,일반 소,소
47190,±¸¹Ì½Ã,1860294,613.235208246391,3033.5733744311606,8.017826125056459,False,False,False,3,False,412684,1048952,일반 소,소
47210,¿µÁÖ½Ã,2989186,672.5874868237787,4444.308076732302,8.399604454147468,False,False,False,3,False,910673,825461,돼지,돼지
47230,¿µÃµ½Ã,2666204,915.0652450842791,2913.676390096575,7.9775140772176645,False,False,False,3,False,1073299,661682,돼지,돼지
47250,»óÁÖ½Ã,2466639,1251.3811766056672,1971.1332135350494,7.5868710853835735,False,False,False,3,False,371734,1372576,일반 소,소
47280,¹®°æ½Ã,1253363,913.9478514832796,1371.3725547533934,7.224296312790593,False,False,False,1,False,356347,539460,일반 소,소
47290,°æ»ê½Ã,1115188,410.7929620663757,2714.7203165077804,7.906812507127192,False,False,False,3,False,367467,525839,일반 소,소
47730,ÀÇ¼º±º,2140130,1169.327050150175,1830.223631382808,7.512739673416824,False,False,False,3,False,592840,760191,일반 소,소
47750,Ã»¼Û±º,306474,846.6895622187527,361.9673770359043,5.8943129598017565,False,False,False,1,False,128756,83124,돼지,돼지
47760,¿µ¾ç±º,123879,819.0887320327064,151.2400246217201,5.025458384717519,False,False,False,1,False,0,73397,일반 소,소
47770,¿µ´ö±º,298082,742.4287001399499,401.4957933924304,5.997684645605073,False,False,False,1,False,92848,125601,일반 소,소
47820,Ã»µµ±º,928656,692.9055013917061,1340.2347046383484,7.201345890068774,False,False,False,3,False,363318,415349,일반 소,소
47830,°í·É±º,1536089,385.66768793164545,3982.9341375164718,8.290025086819965,False,False,False,3,False,1164260,271076,돼지,돼지
47840,¼ºÁÖ±º,1109775,612.521741666127,1811.8132378146922,7.502635192660303,False,False,False,3,False,507144,292383,돼지,돼지
47850,Ä¥°î±º,982900,450.17081005309336,2183.3934543292053,7.689093473720316,False,False,False,3,False,313191,229078,돼지,돼지
47900,¿¹Ãµ±º,1512325,664.18614348501,2276.959576519879,7.731035398687204,False,False,False,3,False,479856,788221,일반 소,소
47920,ºÀÈ­±º,1458567,1200.999156534782,1214.4613025444357,7.102878956593219,False,False,False,1,False,314910,425192,일반 소,소
47930,¿ïÁø±º,264007,991.5928684046012,266.2453597763037,5.588167186896809,False,False,False,1,False,32218,180996,일반 소,소
47940,¿ï¸ª±º,22107,73.87512935253898,299.24820699133187,5.7046094892231345,False,False,False,1,False,636,6557,일반 소,소
48121,Ã¢¿ø½Ã ÀÇÃ¢±¸,372488,203.75380870069185,1828.127789979983,7.511594514719967,False,False,False,3,False,141376,68987,돼지,돼지
48123,Ã¢¿ø½Ã ¼º»ê±¸,162884,88.90813564130319,1832.048313971512,7.513735605360052,False,False,False,3,False,16949,5586,돼지,돼지
48125,Ã¢¿ø½Ã ¸¶»êÇÕÆ÷±¸,342492,241.03805033393346,1420.9042909429133,7.259752302150721,False,False,False,3,False,182909,60177,돼지,돼지
48127,Ã¢¿ø½Ã ¸¶»êÈ¸¿ø±¸,124289,90.802049921512,1368.7906837723779,7.222413221581659,False,False,False,3,False,53674,9168,돼지,돼지
48129,Ã¢¿ø½Ã ÁøÇØ±¸,94794,122.42196243911026,774.3218464346073,6.653278228868172,False,False,False,3,False,28248,3341,돼지,돼지
48170,ÁøÁÖ½Ã,1173045,712.4010142581405,1646.6077062250556,7.407079639793677,False,False,False,3,False,482023,226738,돼지,돼지
48220,Åë¿µ½Ã,81903,237.94234347508586,344.2136393372783,5.844163469834506,False,False,False,3,False,0,19598,일반 소,소
48240,»çÃµ½Ã,475648,398.778654487661,1192.7619360948454,7.084864890567859,False,False,False,3,False,80364,198517,일반 소,소
48250,±èÇØ½Ã,3188956,461.6743105800236,6907.371553755203,8.840489223829882,True,True,True,3,False,2229389,516102,돼지,돼지
48270,¹Ð¾ç½Ã,1421357,801.0562851161956,1774.3534710470788,7.481754820702126,False,False,False,3,False,506348,445964,돼지,돼지
48310,°ÅÁ¦½Ã,159489,402.91380507919627,395.83900573635356,5.983530671326375,False,False,False,3,False,597,31853,일반 소,소
48330,¾ç»ê½Ã,699023,486.44836890073543,1436.9932035739696,7.271003811965212,False,False,False,3,False,268075,28012,돼지,돼지
48720,ÀÇ·É±º,1321657,481.4081331803277,2745.3981536804004,7.918045569874249,False,False,False,3,False,663822,288854,돼지,돼지
48730,ÇÔ¾È±º,1527393,415.5142678900275,3675.9098736995693,8.209827970176718,False,False,False,3,False,948560,218223,돼지,돼지
48740,Ã¢³ç±º,1826525,530.195966141701,3444.9998050566837,8.144969360516974,False,False,False,3,False,463269,493316,일반 소,소
48820,°í¼º±º,2346563,516.6852826121168,4541.571201983702,8.421248474772401,False,False,False,3,False,52640,170995,일반 소,소
48840,³²ÇØ±º,373901,356.9780971136056,1047.4059977999402,6.95502619234088,False,False,False,0,False,84743,205760,일반 소,소
48850,ÇÏµ¿±º,1765029,673.0704085513894,2622.354181041431,7.872208999741532,False,False,False,0,False,153983,252439,일반 소,소
48860,»êÃ»±º,863177,791.3817602033654,1090.721372929021,6.995510970752385,False,False,False,0,False,342505,194592,돼지,돼지
48870,ÇÔ¾ç±º,886031,720.4349162959782,1229.8557162601342,7.115464910752958,False,False,False,0,False,330907,224192,돼지,돼지
48880,°ÅÃ¢±º,1519590,798.8947601027016,1902.1153672414243,7.551247489337432,False,False,False,3,False,270133,501948,일반 소,소
48890,ÇÕÃµ±º,2201684,983.0998508446996,2239.532432141321,7.714468809524831,False,False,False,3,False,1293644,630384,돼지,돼지
50110,Á¦ÁÖ½Ã,4472121,976.8510928155309,4578.0989885676645,8.429257530367888,False,False,False,0,False,2860917,335346,돼지,돼지
50130,¼­±ÍÆ÷½Ã,1700791,869.6235722406014,1955.778401473042,7.579054727194683,False,False,False,0,False,893389,261486,돼지,돼지
51110,ÃáÃµ½Ã,730736,1114.627794590568,655.5874557824196,6.487055900076006,False,False,False,1,False,57821,292100,일반 소,소
51130,¿øÁÖ½Ã,1788916,866.2614876394911,2065.099309533759,7.633417717030506,False,False,False,2,True,848225,266494,돼지,돼지
