percentile_top,density_threshold,hotspot_count,hotspot_region_share_pct,hotspot_emission_contribution_pct,hotspot_mean_density,non_hotspot_mean_density,mean_density_gap,structural_concentration_index
10,6288.227536422667,26,10.317460317460316,22.61704219571564,8466.777663406277,2598.401778364629,5868.375885041649,2.192113320507824
15,5541.9498876854195,38,15.079365079365079,30.409519688080426,7620.344746283903,2419.6351439260798,5200.709602357823,2.0166313056305967
20,5013.466385722846,51,20.238095238095237,34.57435167890421,7029.886608461432,2233.08857774844,4796.798030712992,1.7083797300164432
