method,hotspot_status,dominant_group,count,ratio_within_status_pct,avg_density_by_status,emission_contribution_by_status_pct
percentile_p15,hotspot,돼지,32,84.21052631578947,7620.344746283905,30.409519688080426
percentile_p15,hotspot,소,6,15.789473684210526,7620.344746283905,30.409519688080426
percentile_p15,non_hotspot,돼지,98,45.794392523364486,2419.6351439260798,69.59048031191956
percentile_p15,non_hotspot,소,116,54.20560747663551,2419.6351439260798,69.59048031191956
kmeans_default,hotspot,돼지,68,69.38775510204081,4635.656227444216,39.55972431018075
kmeans_default,hotspot,소,30,30.612244897959183,4635.656227444216,39.55972431018075
kmeans_default,non_hotspot,돼지,62,40.25974025974026,2292.731888762574,60.44027568981926
kmeans_default,non_hotspot,소,92,59.74025974025974,2292.731888762574,60.44027568981926
