percentile_top,density_threshold,hotspot_count,hotspot_ratio_pct,hotspot_emission_sum,total_emission_sum,emission_contribution_pct
10,6288.227536422667,26,10.317460317460316,54849854.0,242515593.0,22.61704219571564
15,5541.9498876854195,38,15.079365079365079,73747827.0,242515593.0,30.409519688080426
20,5013.466385722846,51,20.238095238095237,83848194.0,242515593.0,34.57435167890421
